"","x"
"jan 1990",76.527
"fev 1990",76.587
"mar 1990",76.79
"abr 1990",77.041
"mai 1990",77.299
"jun 1990",77.504
"jul 1990",77.556
"ago 1990",77.473
"set 1990",77.222
"out 1990",76.906
"nov 1990",76.375
"dez 1990",75.966
"jan 1991",75.527
"fev 1991",75.246
"mar 1991",75.139
"abr 1991",75.313
"mai 1991",75.768
"jun 1991",76.251
"jul 1991",76.508
"ago 1991",76.586
"set 1991",76.569
"out 1991",76.284
"nov 1991",76.032
"dez 1991",75.832
"jan 1992",75.695
"fev 1992",75.65
"mar 1992",75.81
"abr 1992",76.076
"mai 1992",76.395
"jun 1992",76.6
"jul 1992",76.71
"ago 1992",76.731
"set 1992",76.628
"out 1992",76.599
"nov 1992",76.58
"dez 1992",76.466
"jan 1993",76.397
"fev 1993",76.329
"mar 1993",76.384
"abr 1993",76.661
"mai 1993",77.03
"jun 1993",77.516
"jul 1993",77.884
"ago 1993",78.13
"set 1993",78.2
"out 1993",78.176
"nov 1993",78.176
"dez 1993",78.119
"jan 1994",78.203
"fev 1994",78.209
"mar 1994",78.354
"abr 1994",78.708
"mai 1994",79.216
"jun 1994",79.709
"jul 1994",80.071
"ago 1994",80.324
"set 1994",80.346
"out 1994",80.309
"nov 1994",80.174
"dez 1994",80.084
"jan 1995",80.035
"fev 1995",80.004
"mar 1995",80.093
"abr 1995",80.385
"mai 1995",80.707
"jun 1995",81.084
"jul 1995",81.427
"ago 1995",81.669
"set 1995",81.754
"out 1995",81.744
"nov 1995",81.649
"dez 1995",81.532
"jan 1996",81.447
"fev 1996",81.42
"mar 1996",81.686
"abr 1996",82.144
"mai 1996",82.622
"jun 1996",83.07
"jul 1996",83.443
"ago 1996",83.671
"set 1996",83.727
"out 1996",83.653
"nov 1996",83.58
"dez 1996",83.514
"jan 1997",83.553
"fev 1997",83.618
"mar 1997",83.934
"abr 1997",84.348
"mai 1997",84.894
"jun 1997",85.428
"jul 1997",85.87
"ago 1997",86.179
"set 1997",86.339
"out 1997",86.436
"nov 1997",86.659
"dez 1997",86.876
"jan 1998",87.192
"fev 1998",87.403
"mar 1998",87.907
"abr 1998",88.586
"mai 1998",89.402
"jun 1998",90.222
"jul 1998",90.886
"ago 1998",91.433
"set 1998",91.778
"out 1998",92.025
"nov 1998",92.222
"dez 1998",92.469
"jan 1999",92.739
"fev 1999",93.006
"mar 1999",93.637
"abr 1999",94.464
"mai 1999",95.389
"jun 1999",96.392
"jul 1999",97.22
"ago 1999",97.925
"set 1999",98.429
"out 1999",98.864
"nov 1999",99.183
"dez 1999",99.577
"jan 2000",100
"fev 2000",100.57
"mar 2000",101.466
"abr 2000",102.541
"mai 2000",103.702
"jun 2000",104.856
"jul 2000",105.722
"ago 2000",106.522
"set 2000",107.135
"out 2000",107.728
"nov 2000",108.291
"dez 2000",108.792
"jan 2001",109.215
"fev 2001",109.643
"mar 2001",110.395
"abr 2001",111.248
"mai 2001",112.204
"jun 2001",113.274
"jul 2001",114.23
"ago 2001",114.991
"set 2001",115.467
"out 2001",115.682
"nov 2001",115.839
"dez 2001",116.056
"jan 2002",116.438
"fev 2002",116.918
"mar 2002",117.932
"abr 2002",119.213
"mai 2002",120.792
"jun 2002",122.335
"jul 2002",123.687
"ago 2002",124.729
"set 2002",125.493
"out 2002",126.135
"nov 2002",126.641
"dez 2002",127.15
"jan 2003",127.652
"fev 2003",128.327
"mar 2003",129.31
"abr 2003",130.491
"mai 2003",131.841
"jun 2003",133.226
"jul 2003",134.648
"ago 2003",135.966
"set 2003",137.077
"out 2003",137.979
"nov 2003",138.769
"dez 2003",139.632
"jan 2004",140.711
"fev 2004",142.034
"mar 2004",144.085
"abr 2004",146.182
"mai 2004",148.336
"jun 2004",150.519
"jul 2004",152.338
"ago 2004",153.815
"set 2004",155.109
"out 2004",156.301
"nov 2004",157.499
"dez 2004",158.675
"jan 2005",160.136
"fev 2005",161.931
"mar 2005",164.582
"abr 2005",167.002
"mai 2005",169.544
"jun 2005",172.015
"jul 2005",174.097
"ago 2005",175.923
"set 2005",177.612
"out 2005",178.755
"nov 2005",179.678
"dez 2005",180.113
"jan 2006",180.834
"fev 2006",181.506
"mar 2006",182.755
"abr 2006",183.652
"mai 2006",184.383
"jun 2006",184.552
"jul 2006",184.615
"ago 2006",184.413
"set 2006",184.207
"out 2006",184.062
"nov 2006",183.639
"dez 2006",183.236
"jan 2007",182.724
"fev 2007",182.475
"mar 2007",182.197
"abr 2007",182.136
"mai 2007",181.89
"jun 2007",181.547
"jul 2007",181.001
"ago 2007",180.243
"set 2007",179.131
"out 2007",177.54
"nov 2007",175.172
"dez 2007",173.346
"jan 2008",171.083
"fev 2008",169.195
"mar 2008",167.908
"abr 2008",167.327
"mai 2008",167.026
"jun 2008",166.545
"jul 2008",165.723
"ago 2008",164.288
"set 2008",161.922
"out 2008",159.171
"nov 2008",156.079
"dez 2008",152.553
"jan 2009",149.371
"fev 2009",147.627
"mar 2009",146.524
"abr 2009",146.951
"mai 2009",148.178
"jun 2009",149.803
"jul 2009",150.751
"ago 2009",150.668
"set 2009",149.627
"out 2009",148.588
"nov 2009",147.945
"dez 2009",146.674
"jan 2010",145.003
"fev 2010",143.056
"mar 2010",143.596
"abr 2010",145.399
"mai 2010",147.033
"jun 2010",147.697
"jul 2010",147.554
"ago 2010",146.416
"set 2010",144.599
"out 2010",143.127
"nov 2010",141.823
"dez 2010",140.636
"jan 2011",139.048
"fev 2011",137.744
"mar 2011",137.792
"abr 2011",139.155
"mai 2011",140.684
"jun 2011",141.936
"jul 2011",142.333
"ago 2011",141.776
"set 2011",140.157
"out 2011",138.397
"nov 2011",136.653
"dez 2011",135.157
"jan 2012",134.164
"fev 2012",134
"mar 2012",135.872
"abr 2012",138.477
"mai 2012",141.051
"jun 2012",143.17
"jul 2012",144.28
"ago 2012",144.704
"set 2012",144.359
"out 2012",143.972
"nov 2012",143.968
"dez 2012",143.875
"jan 2013",144.314
"fev 2013",145.16
"mar 2013",147.96
"abr 2013",150.974
"mai 2013",153.87
"jun 2013",156.442
"jul 2013",158.304
"ago 2013",159.413
"set 2013",159.689
"out 2013",159.566
"nov 2013",159.369
"dez 2013",159.289
"jan 2014",159.387
"fev 2014",159.897
"mar 2014",161.215
"abr 2014",162.993
"mai 2014",164.705
"jun 2014",166.23
"jul 2014",167.149
"ago 2014",167.464
"set 2014",167.258
"out 2014",166.929
"nov 2014",166.681
"dez 2014",166.49
"jan 2015",166.288
"fev 2015",166.676
"mar 2015",168.132
"abr 2015",170.006
"mai 2015",171.883
"jun 2015",173.483
"jul 2015",174.527
"ago 2015",174.974
"set 2015",175.088
"out 2015",175.1
"nov 2015",175.201
"dez 2015",175.179
"jan 2016",175.095
"fev 2016",175.334
"mar 2016",176.648
"abr 2016",178.533
"mai 2016",180.384
"jun 2016",181.971
"jul 2016",183.091
"ago 2016",183.741
"set 2016",184.038
"out 2016",184.12
"nov 2016",184.34
"dez 2016",184.517
"jan 2017",184.77
"fev 2017",185.138
"mar 2017",186.642
"abr 2017",188.649
"mai 2017",190.652
"jun 2017",192.396
"jul 2017",193.655
"ago 2017",194.498
"set 2017",194.972
"out 2017",195.239
"nov 2017",195.607
"dez 2017",196.013
"jan 2018",196.288
"fev 2018",197.081
"mar 2018",198.753
"abr 2018",200.798
"mai 2018",202.659
"jun 2018",204.261
"jul 2018",205.179
"ago 2018",205.548
"set 2018",205.593
"out 2018",205.585
"nov 2018",205.331
"dez 2018",204.924
"jan 2019",204.445
"fev 2019",204.693
"mar 2019",206.036
"abr 2019",207.943
"mai 2019",209.624
"jun 2019",210.843
"jul 2019",211.585
"ago 2019",211.947
"set 2019",212.203
